date,day_of_week,is_weekend,temperature,promotion,online_orders,daily_sales
2027-04-17,3,0,89.8,0,30,1986.39
2026-08-18,6,1,46.4,0,53,2304.04
2026-07-08,0,0,75.4,1,43,2024.54
2026-08-12,0,0,55.8,0,43,1717.51
2027-01-19,6,1,69.1,0,70,2881.34
2027-01-11,5,1,73.1,0,72,2432.42
2026-10-09,2,0,52.9,1,43,1815.51
2027-09-24,2,0,46.1,1,36,1671.22
2027-09-19,4,0,55.3,1,45,1582.57
2026-09-15,6,1,48.0,1,73,2833.33
2026-12-24,1,0,63.4,1,45,1986.37
2027-12-10,2,0,65.5,0,39,1778.63
2027-03-31,0,0,92.8,0,36,2055.51
2027-02-14,4,0,78.0,1,50,1873.01
2027-10-10,4,0,49.1,1,46,1913.65
2026-11-13,2,0,50.6,0,52,1610.92
2027-11-07,4,0,64.3,0,63,2103.75
2026-08-12,0,0,55.8,1,43,1717.51
2026-08-21,2,0,59.0,0,55,1784.8
2027-11-14,4,0,51.5,1,48,2353.43
2027-10-25,5,1,48.2,0,67,2722.37
2027-01-08,2,0,77.2,0,50,1682.85
2027-11-02,6,1,52.7,1,65,2816.74
2027-08-30,5,1,53.4,0,51,2427.73
2027-04-16,2,0,89.3,0,53,1783.23
2026-08-20,1,0,54.8,0,41,1564.98
2027-11-22,5,1,55.1,1,62,2471.67
2026-04-22,0,0,87.5,0,53,2542.91
2027-05-11,6,1,77.9,0,59,2840.57
